,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H20_ppt
2017-09-23 16:30:00,-4.61803,-1.7968099999999998,-0.22983,7.042800468327016,381.779,8.93817
2017-09-23 16:30:00.100000,-4.44355,-2.13148,-0.310181,6.854119296464319,381.795,8.94263
2017-09-23 16:30:00.200000,-4.62007,-2.22637,0.026273599999999998,7.017750637044173,381.911,8.943060000000001
2017-09-23 16:30:00.300000,-4.3017199999999995,-1.8927200000000002,-0.14616300000000002,7.0127408051640145,381.839,8.9438
2017-09-23 16:30:00.400000,-3.93134,-1.73253,0.0854529,6.884170449116084,382.009,8.94246
2017-09-23 16:30:00.500000,-3.9323599999999996,-0.9336049999999999,0.221412,6.912553573916966,381.97900000000004,8.94352
2017-09-23 16:30:00.600000,-4.09256,-0.9029950000000001,-0.0938707,6.857458233795228,381.934,8.94323
2017-09-23 16:30:00.700000,-4.02726,-0.8407540000000001,-0.16605899999999998,6.90921430811045,381.98400000000004,8.9411
2017-09-23 16:30:00.800000,-4.34764,-0.759128,-0.0502514,6.857458233795228,381.86,8.94173
2017-09-23 16:30:00.900000,-4.42927,-1.0152299999999999,-0.508891,6.695542704351794,381.949,8.94086
2017-09-23 16:30:01,-4.15684,-1.49071,-0.101778,6.830747292562592,381.89,8.94207
2017-09-23 16:30:01.100000,-4.0456199999999995,-1.63968,-0.0229575,6.804037625418005,381.954,8.941180000000001
2017-09-23 16:30:01.200000,-3.48444,-1.17236,-0.026528700000000002,6.752291271002491,381.94,8.94236
2017-09-23 16:30:01.300000,-3.80482,-1.14277,0.025763400000000002,6.960975165233322,381.966,8.94097
2017-09-23 16:30:01.400000,-4.23642,-0.839734,-0.15407,6.777329232361808,381.968,8.9397
2017-09-23 16:30:01.500000,-3.7721699999999996,-1.0938,0.07729019999999999,7.124637720974704,381.974,8.94036
2017-09-23 16:30:01.600000,-3.7415599999999998,-0.806063,0.25763400000000003,7.071191630832914,381.866,8.94303
2017-09-23 16:30:01.700000,-3.69361,-1.28562,0.0818817,6.830747292562592,381.866,8.94156
2017-09-23 16:30:01.800000,-3.9476699999999996,-1.31623,0.221667,6.937598702022569,381.995,8.941289999999999
2017-09-23 16:30:01.900000,-3.88237,-1.23766,0.584396,6.912553573916966,381.931,8.93944
2017-09-23 16:30:02,-3.82115,-1.15604,0.282122,6.725585346492267,381.954,8.942960000000001
