,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H20_ppt
2017-09-23 20:00:00,-3.26507,-2.13352,-0.0905546,6.642137544294485,384.091,9.47616
2017-09-23 20:00:00.100000,-3.3569,-1.85905,0.0818817,6.563707955088432,384.095,9.47423
2017-09-23 20:00:00.200000,-3.82217,-1.46214,-0.0943808,6.373520156474001,383.972,9.47541
2017-09-23 20:00:00.300000,-3.27935,-1.9100599999999999,-0.0900444,6.325149369425844,384.13699999999994,9.47392
2017-09-23 20:00:00.400000,-3.15181,-1.92333,0.348954,6.375188189301639,384.173,9.47396
2017-09-23 20:00:00.500000,-3.6283,-1.23664,0.0854529,6.647144061554457,384.19300000000004,9.47326
2017-09-23 20:00:00.600000,-2.94468,-1.9386299999999999,0.0895342,6.321813607361889,384.014,9.46729
2017-09-23 20:00:00.700000,-3.20079,-2.1947400000000004,0.369106,6.485289359870194,384.105,9.469619999999999
2017-09-23 20:00:00.800000,-3.5497400000000003,-2.19576,0.312987,6.456927894569219,384.17800000000005,9.472000000000001
2017-09-23 20:00:00.900000,-3.69361,-2.3212599999999997,-0.269878,6.455259617873139,384.065,9.46945
2017-09-23 20:00:01,-4.09154,-2.6753099999999996,-0.150499,6.455259617873139,383.876,9.46795
2017-09-23 20:00:01.100000,-4.34764,-2.54573,0.009183,6.535342513238561,383.774,9.470469999999999
2017-09-23 20:00:01.200000,-4.44355,-2.4508400000000004,-0.150499,6.483620998566721,383.85400000000004,9.4714
2017-09-23 20:00:01.300000,-4.5415,-2.67429,-0.134429,6.375188189301639,383.786,9.47005
2017-09-23 20:00:01.400000,-4.71598,-2.54675,-0.059434400000000005,6.560370769628889,383.83,9.4732
2017-09-23 20:00:01.500000,-4.44559,-2.30799,0.0140296,6.695542704351794,383.791,9.473130000000001
2017-09-23 20:00:01.600000,-4.44457,-2.51614,-0.014539700000000003,6.4285678675943245,383.834,9.47305
2017-09-23 20:00:01.700000,-4.525180000000001,-2.70592,-0.0227024,6.510315376652329,383.82800000000003,9.47467
2017-09-23 20:00:01.800000,-4.76394,-2.64368,-0.102288,6.643806378404179,383.79900000000004,9.47375
2017-09-23 20:00:01.900000,-4.52416,-2.7702,-0.0507616,6.481952642240003,383.913,9.47227
2017-09-23 20:00:02,-4.5547699999999995,-2.70592,-0.122695,6.563707955088432,383.79900000000004,9.47277
2017-09-23 20:00:02.100000,-4.411919999999999,-2.81612,-0.218096,6.5320054969940315,383.879,9.474739999999999
2017-09-23 20:00:02.200000,-4.37927,-2.78755,-0.282632,6.4052136312510015,383.833,9.47296
2017-09-23 20:00:02.300000,-4.3017199999999995,-2.72225,-0.38976700000000003,6.398541171464501,383.814,9.47475
2017-09-23 20:00:02.400000,-4.37927,-2.67327,-0.313752,6.588737480590112,383.805,9.4739
2017-09-23 20:00:02.500000,-3.9639900000000003,-2.78551,-0.258144,6.456927894569219,383.815,9.47357
2017-09-23 20:00:02.600000,-4.31805,-2.75388,-0.21375999999999998,6.695542704351794,383.838,9.47472
2017-09-23 20:00:02.700000,-4.20683,-2.97733,-0.24207399999999998,6.481952642240003,383.92400000000004,9.47557
2017-09-23 20:00:02.800000,-4.3966199999999995,-2.92938,-0.22600399999999998,6.4285678675943245,383.726,9.47203
2017-09-23 20:00:02.900000,-4.57313,-2.6896,-0.21427,6.455259617873139,383.75199999999995,9.472760000000001
2017-09-23 20:00:03,-4.22112,-2.7069400000000003,-0.393849,6.350168219461693,383.773,9.47598
2017-09-23 20:00:03.100000,-3.94869,-2.65899,-0.473179,6.640468715161717,383.722,9.47545
2017-09-23 20:00:03.200000,-4.36396,-2.91407,-0.30559000000000003,6.562039359870255,383.716,9.47433
2017-09-23 20:00:03.300000,-4.39764,-2.9161099999999998,-0.29054,6.693873715957977,383.67199999999997,9.47296
2017-09-23 20:00:03.400000,-4.33335,-2.91407,-0.146418,6.483620998566721,383.724,9.47637
2017-09-23 20:00:03.500000,-4.525180000000001,-2.73857,-0.282122,6.562039359870255,383.776,9.475019999999999
2017-09-23 20:00:03.600000,-4.3507,-2.83244,-0.114277,6.537011028826214,383.741,9.47278
2017-09-23 20:00:03.700000,-4.3966199999999995,-2.76918,0.0374972,6.562039359870255,383.726,9.47676
