,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H20_ppt
2017-09-23 19:30:00,-3.67728,-1.31623,0.161468,6.4302360646600505,383.93,9.40485
2017-09-23 19:30:00.100000,-3.63035,-1.41214,0.029844700000000002,6.431904266702588,384.051,9.40753
2017-09-23 19:30:00.200000,-3.70891,-1.39582,0.265542,6.376856227106259,384.03,9.404760000000001
2017-09-23 19:30:00.300000,-4.01297,-1.70192,0.13698,6.563707955088432,383.792,9.40494
2017-09-23 19:30:00.400000,-3.8833900000000003,-1.7794599999999998,0.23340100000000003,6.458596176242224,383.89099999999996,9.4052
2017-09-23 19:30:00.500000,-3.82217,-1.68355,-0.07371910000000001,6.456927894569219,383.724,9.40589
2017-09-23 19:30:00.600000,-3.4375,-1.57233,-0.0780555,6.508646940695257,383.541,9.40592
2017-09-23 19:30:00.700000,-3.89971,-1.44479,0.00561183,6.456927894569219,383.597,9.40528
2017-09-23 19:30:00.800000,-3.613,-1.6355899999999999,0.0660666,6.485289359870194,383.5,9.407160000000001
2017-09-23 19:30:00.900000,-3.7415599999999998,-1.8264,0.00586692,6.697211697722594,383.63800000000003,9.4051
2017-09-23 19:30:01,-3.9170599999999998,-1.58866,0.0221922,6.645475217490798,383.63,9.40817
2017-09-23 19:30:01.100000,-4.02623,-1.4774399999999999,0.0216821,6.695542704351794,383.658,9.405710000000001
2017-09-23 19:30:01.200000,-4.3966199999999995,-1.57233,-0.20559699999999997,6.537011028826214,383.555,9.40594
2017-09-23 19:30:01.300000,-4.55681,-1.5254,-0.246155,6.508646940695257,383.587,9.40517
2017-09-23 19:30:01.400000,-4.50783,-1.7009,-0.201516,6.613768125895831,383.55300000000005,9.40333
2017-09-23 19:30:01.500000,-4.8894400000000005,-1.39786,-0.0586692,6.456927894569219,383.644,9.40632
2017-09-23 19:30:01.600000,-4.61803,-1.7162,0.145653,6.511983817586383,383.649,9.40541
2017-09-23 19:30:01.700000,-4.71598,-1.8121099999999999,0.0614751,6.510315376652329,383.591,9.40462
2017-09-23 19:30:01.800000,-4.55579,-1.68355,0.0137745,6.510315376652329,383.51800000000003,9.40742
2017-09-23 19:30:01.900000,-4.70068,-1.82844,-0.22600399999999998,6.535342513238561,383.54699999999997,9.406130000000001
2017-09-23 19:30:02,-4.5721099999999995,-1.93965,-0.106625,6.775660000099492,383.56,9.40333
2017-09-23 19:30:02.100000,-4.71598,-1.7815,-0.0982071,6.485289359870194,383.62199999999996,9.40418
2017-09-23 19:30:02.200000,-4.61701,-1.47846,0.00969316,6.645475217490798,383.475,9.40565
2017-09-23 19:30:02.300000,-4.90678,-1.7662,-0.270133,6.403545508838931,383.611,9.40625
2017-09-23 19:30:02.400000,-4.85883,-1.62029,-0.15024400000000002,6.643806378404179,383.561,9.4058
2017-09-23 19:30:02.500000,-4.76394,-1.86211,-0.206362,6.4285678675943245,383.601,9.406130000000001
2017-09-23 19:30:02.600000,-4.2221400000000004,-2.2753400000000004,-0.237738,6.486957726150592,383.658,9.40655
2017-09-23 19:30:02.700000,-4.427230000000001,-1.8121099999999999,-0.253808,6.510315376652329,383.70099999999996,9.40509
2017-09-23 19:30:02.800000,-4.23948,-2.05087,-0.301764,6.4052136312510015,383.531,9.40633
2017-09-23 19:30:02.900000,-4.17214,-2.05087,-0.377778,6.4285678675943245,383.661,9.40794
2017-09-23 19:30:03,-4.02726,-1.90802,-0.205852,6.4302360646600505,383.63699999999994,9.40766
2017-09-23 19:30:03.100000,-4.155819999999999,-1.90802,-0.178558,6.695542704351794,383.595,9.40704
2017-09-23 19:30:03.200000,-4.37825,-1.8927200000000002,-0.294111,6.511983817586383,383.527,9.40958
2017-09-23 19:30:03.300000,-4.19051,-1.8294599999999999,-0.205852,6.645475217490798,383.555,9.41041
2017-09-23 19:30:03.400000,-4.10684,-1.8610900000000001,-0.23824800000000002,6.615436875398245,383.597,9.407919999999999
2017-09-23 19:30:03.500000,-4.18847,-1.85905,-0.28186700000000003,6.802368313525278,383.491,9.40778
2017-09-23 19:30:03.600000,-4.17214,-2.00495,-0.26171500000000003,6.455259617873139,383.531,9.40678
2017-09-23 19:30:03.700000,-4.10786,-1.7815,-0.27855100000000005,6.4285678675943245,383.45099999999996,9.40496
2017-09-23 19:30:03.800000,-4.34764,-1.8427200000000001,-0.293601,6.643806378404179,383.577,9.40439
2017-09-23 19:30:03.900000,-4.3017199999999995,-1.92435,-0.266052,6.563707955088432,383.501,9.405389999999999
2017-09-23 19:30:04,-4.09154,-1.9549599999999998,-0.369871,6.453591346153871,383.524,9.40577
2017-09-23 19:30:04.100000,-4.1099,-1.9559799999999998,-0.345383,6.510315376652329,383.439,9.40351
2017-09-23 19:30:04.200000,-4.1241900000000005,-1.8763900000000002,-0.42139799999999994,6.455259617873139,383.47,9.40521
2017-09-23 19:30:04.300000,-4.174180000000001,-2.06719,-0.35737199999999997,6.510315376652329,383.555,9.4044
2017-09-23 19:30:04.400000,-4.19153,-1.9723,-0.274215,6.563707955088432,383.58099999999996,9.40707
2017-09-23 19:30:04.500000,-4.28642,-1.93965,-0.206107,6.672177319736534,383.61300000000006,9.40518
2017-09-23 19:30:04.600000,-4.10786,-1.9069999999999998,-0.2459,6.617105629877415,383.56800000000004,9.4063
2017-09-23 19:30:04.700000,-4.30274,-1.92333,-0.293601,6.535342513238561,383.595,9.40329
2017-09-23 19:30:04.800000,-4.09256,-2.09985,-0.181874,6.4018773914039,383.57099999999997,9.40648
2017-09-23 19:30:04.900000,-4.12521,-2.03556,-0.310181,6.587068810718279,383.44699999999995,9.40241
2017-09-23 19:30:05,-3.72626,-2.08454,-0.142336,6.4285678675943245,383.62699999999995,9.40357
2017-09-23 19:30:05.100000,-4.076230000000001,-1.9723,-0.0505065,6.508646940695257,383.635,9.403189999999999
2017-09-23 19:30:05.200000,-4.3017199999999995,-1.65294,0.00969316,6.4052136312510015,383.673,9.40372
2017-09-23 19:30:05.300000,-4.0599099999999995,-1.69885,0.0816267,6.508646940695257,383.51,9.40254
2017-09-23 19:30:05.400000,-4.23642,-1.63763,-0.0982071,6.535342513238561,383.619,9.40052
2017-09-23 19:30:05.500000,-4.31703,-1.7968099999999998,-0.14616300000000002,6.538679549390906,383.635,9.404639999999999
2017-09-23 19:30:05.600000,-4.17214,-1.9212900000000002,-0.12295,6.510315376652329,383.54900000000004,9.39856
2017-09-23 19:30:05.700000,-4.076230000000001,-1.46112,-0.134429,6.830747292562592,383.57800000000003,9.40065
2017-09-23 19:30:05.800000,-4.31703,-1.7968099999999998,-0.18646600000000002,6.643806378404179,383.588,9.40044
2017-09-23 19:30:05.900000,-4.18949,-1.6682400000000002,-0.162233,6.456927894569219,383.621,9.40086
2017-09-23 19:30:06,-3.91604,-2.29167,-0.0507616,6.375188189301639,383.61,9.40092
2017-09-23 19:30:06.100000,-3.9007300000000003,-2.0345400000000002,-0.158152,6.535342513238561,383.657,9.39892
2017-09-23 19:30:06.200000,-3.72422,-2.13046,-0.06657669999999999,6.4285678675943245,383.565,9.39889
2017-09-23 19:30:06.300000,-4.076230000000001,-1.9386299999999999,-0.110706,6.695542704351794,383.575,9.39971
2017-09-23 19:30:06.400000,-4.0293,-1.98659,0.0374972,6.615436875398245,383.495,9.40432
2017-09-23 19:30:06.500000,-4.15684,-1.92435,-0.027293900000000003,6.588737480590112,383.529,9.40131
2017-09-23 19:30:06.600000,-3.96501,-1.9559799999999998,-0.110451,6.642137544294485,383.57800000000003,9.40212
2017-09-23 19:30:06.700000,-3.9956199999999997,-1.8927200000000002,-0.158152,6.510315376652329,383.469,9.401639999999999
2017-09-23 19:30:06.800000,-4.19051,-1.82844,-0.197945,6.588737480590112,383.465,9.402289999999999
2017-09-23 19:30:06.900000,-4.23744,-1.84578,-0.20967800000000003,6.560370769628889,383.54400000000004,9.40335
2017-09-23 19:30:07,-4.20581,-2.00393,-0.261971,6.348500261287654,383.54400000000004,9.40357
2017-09-23 19:30:07.100000,-3.9180800000000002,-2.00495,-0.273959,6.587068810718279,383.619,9.40307
2017-09-23 19:30:07.200000,-4.23642,-1.9569999999999999,-0.158152,6.643806378404179,383.514,9.39886
2017-09-23 19:30:07.300000,-3.85278,-1.9100599999999999,-0.285948,6.590406155438757,383.603,9.402439999999999
2017-09-23 19:30:07.400000,-4.12521,-2.17943,-0.293856,6.403545508838931,383.611,9.40302
