,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H20_ppt
2017-09-23 13:30:00,-1.3315299999999999,-3.00692,-0.0385176,6.991032051282048,381.26300000000003,8.415510000000001
2017-09-23 13:30:00.100000,-1.5070299999999999,-3.2314,0.297682,6.967654333890721,381.21,8.41291
2017-09-23 13:30:00.200000,-1.6366100000000001,-3.19976,0.105349,6.802368313525278,381.034,8.42338
2017-09-23 13:30:00.300000,-1.8417,-3.4538300000000004,0.389257,6.962644949932269,381.15,8.42435
2017-09-23 13:30:00.400000,-2.17841,-2.9599900000000003,0.161723,7.014410744147142,381.077,8.43003
2017-09-23 13:30:00.500000,-2.17943,-3.8078800000000004,-0.401501,6.991032051282048,380.99199999999996,8.43272
2017-09-23 13:30:00.600000,-2.11515,-4.3160099999999995,-0.23034000000000002,6.937598702022569,381.101,8.43789
2017-09-23 13:30:00.700000,-2.11515,-3.96706,-0.110451,6.910883938525274,381.043,8.44176
2017-09-23 13:30:00.800000,-2.67327,-3.7925800000000005,-0.409919,6.855788762641396,381.18,8.44082
2017-09-23 13:30:00.900000,-2.56002,-4.01501,-0.23824800000000002,6.750622113393888,381.256,8.44581
2017-09-23 13:30:01,-2.6243,-3.6007599999999997,-0.23416599999999999,6.934259286908798,381.23900000000003,8.44484
2017-09-23 13:30:01.100000,-2.5141,-3.69463,-0.22983,6.643806378404179,381.213,8.4503
2017-09-23 13:30:01.200000,-2.5436900000000002,-3.7119699999999995,-0.206617,6.693873715957977,381.224,8.449860000000001
2017-09-23 13:30:01.300000,-2.39982,-3.5681,-0.0946359,6.723916268514188,381.23900000000003,8.45705
2017-09-23 13:30:01.400000,-2.11311,-3.68034,-0.12218499999999999,6.804037625418005,381.23,8.46065
2017-09-23 13:30:01.500000,-2.08046,-3.63239,-0.07856569999999999,6.934259286908798,381.147,8.46376
2017-09-23 13:30:01.600000,-2.00189,-3.51913,-0.16631400000000002,6.884170449116084,381.158,8.4665
2017-09-23 13:30:01.700000,-1.9539400000000002,-3.6476900000000003,-0.254063,6.987692317646122,381.199,8.47003
2017-09-23 13:30:01.800000,-2.35289,-3.2977199999999995,0.0655564,7.121297191033591,381.119,8.47262
2017-09-23 13:30:01.900000,-2.35187,-3.58239,0.189272,6.775660000099492,381.027,8.4733
2017-09-23 13:30:02,-2.28963,-3.08855,0.332884,6.804037625418005,381.186,8.474639999999999
2017-09-23 13:30:02.100000,-2.68756,-3.10385,0.0219372,6.752291271002491,381.336,8.47963
2017-09-23 13:30:02.200000,-2.48145,-3.48852,-0.0352015,6.670508401019276,381.375,8.47765
2017-09-23 13:30:02.300000,-2.49573,-3.5670800000000003,-0.0425989,7.044470496894405,381.226,8.47985
2017-09-23 13:30:02.400000,-2.84775,-3.6476900000000003,-0.142592,6.5069785097149975,381.344,8.477269999999999
2017-09-23 13:30:02.500000,-2.91203,-4.03236,-0.03443619999999999,6.537011028826214,381.407,8.47648
2017-09-23 13:30:02.600000,-2.80183,-4.253769999999999,0.129072,6.773990772814159,381.221,8.471260000000001
2017-09-23 13:30:02.700000,-2.28963,-4.10888,0.033926099999999994,6.722247195512921,381.075,8.46862
2017-09-23 13:30:02.800000,-2.65899,-3.96706,-0.293856,6.855788762641396,381.315,8.46594
2017-09-23 13:30:02.900000,-2.89571,-3.8395099999999998,-0.17422200000000002,6.617105629877415,381.376,8.45878
2017-09-23 13:30:03,-2.8824400000000003,-4.01399,-0.249727,6.854119296464319,381.398,8.45609
2017-09-23 13:30:03.100000,-2.91305,-4.30274,-0.197945,6.5336740026278335,381.47900000000004,8.4468
2017-09-23 13:30:03.200000,-3.15181,-4.2241800000000005,-0.24641,6.667170578515652,381.404,8.44355
2017-09-23 13:30:03.300000,-3.07324,-4.07725,-0.250237,6.723916268514188,381.409,8.436580000000001
2017-09-23 13:30:03.400000,-2.75184,-4.27009,-0.23799299999999998,6.670508401019276,381.32800000000003,8.43547
2017-09-23 13:30:03.500000,-2.53043,-4.20479,-0.553021,6.752291271002491,381.334,8.43042
2017-09-23 13:30:03.600000,-1.97128,-4.41294,-0.537461,6.829077901039113,381.121,8.42532
2017-09-23 13:30:03.700000,-2.52941,-4.19153,-0.477516,6.640468715161717,381.274,8.42297
2017-09-23 13:30:03.800000,-2.95897,-3.90277,-0.249982,6.668839487279001,381.251,8.42002
2017-09-23 13:30:03.900000,-2.83347,-3.8874699999999995,-0.282122,6.777329232361808,381.19800000000004,8.41591
2017-09-23 13:30:04,-2.9936599999999998,-3.87114,-0.178048,6.725585346492267,381.314,8.41655
2017-09-23 13:30:04.100000,-3.00692,-3.8701199999999996,-0.214525,6.643806378404179,381.305,8.417589999999999
2017-09-23 13:30:04.200000,-3.08549,-4.15888,-0.151009,6.642137544294485,381.413,8.42049
2017-09-23 13:30:04.300000,-3.0559,-4.06195,-0.0586692,6.510315376652329,381.26,8.4204
2017-09-23 13:30:04.400000,-3.10283,-3.9813400000000003,-0.15024400000000002,6.612099381370456,381.212,8.41657
2017-09-23 13:30:04.500000,-2.4488,-4.04664,0.138,6.830747292562592,381.272,8.41409
2017-09-23 13:30:04.600000,-1.89068,-4.44355,-0.289775,6.775660000099492,381.194,8.41737
2017-09-23 13:30:04.700000,-1.69885,-4.45988,-0.026528700000000002,6.804037625418005,381.16,8.41414
2017-09-23 13:30:04.800000,-1.9069999999999998,-4.0293,-0.158407,6.802368313525278,381.217,8.41893
2017-09-23 13:30:04.900000,-2.3988,-3.69565,0.10586,6.962644949932269,381.14599999999996,8.41501
2017-09-23 13:30:05,-2.41717,-4.01297,0.23799299999999998,6.989362181975707,381.103,8.419189999999999
2017-09-23 13:30:05.100000,-3.00692,-3.9037900000000003,-0.055098,6.752291271002491,381.171,8.417530000000001
2017-09-23 13:30:05.200000,-2.7844900000000004,-3.8548199999999997,-0.0387727,6.668839487279001,381.33099999999996,8.42047
2017-09-23 13:30:05.300000,-2.8181599999999998,-3.90277,0.0614751,6.697211697722594,381.353,8.42281
2017-09-23 13:30:05.400000,-2.84775,-4.07827,0.12116500000000001,6.670508401019276,381.384,8.424439999999999
2017-09-23 13:30:05.500000,-2.65797,-4.4762,0.113257,6.805706942287827,381.32800000000003,8.42566
2017-09-23 13:30:05.600000,-2.65797,-4.1262300000000005,0.0933605,6.804037625418005,381.403,8.42765
2017-09-23 13:30:05.700000,-2.59267,-3.8538,0.00994825,6.807376264134405,381.34,8.42571
2017-09-23 13:30:05.800000,-2.73755,-4.2221400000000004,-0.114277,6.697211697722594,381.23699999999997,8.422789999999999
2017-09-23 13:30:05.900000,-2.22637,-3.9639900000000003,0.0579039,6.829077901039113,381.279,8.425930000000001
2017-09-23 13:30:06,-2.13046,-4.09358,-0.15024400000000002,6.775660000099492,381.213,8.42464
2017-09-23 13:30:06.100000,-1.7957900000000002,-4.0456199999999995,-0.21375999999999998,6.910883938525274,381.126,8.422839999999999
2017-09-23 13:30:06.200000,-2.00189,-4.01399,-0.0507616,6.7489529607621535,381.12699999999995,8.419310000000001
2017-09-23 13:30:06.300000,-1.87537,-3.9813400000000003,-0.014539700000000003,6.855788762641396,381.16,8.41878
2017-09-23 13:30:06.400000,-1.6366100000000001,-3.5497400000000003,0.0619852,6.775660000099492,381.13699999999994,8.42189
2017-09-23 13:30:06.500000,-2.0345400000000002,-3.3283300000000002,0.0015305,6.880831352524297,381.08,8.42382
2017-09-23 13:30:06.600000,-1.79375,-3.32935,-0.014539700000000003,6.964314739608312,381.19199999999995,8.43052
2017-09-23 13:30:06.700000,-2.22943,-3.9191,-0.840499,6.802368313525278,381.18,8.43437
2017-09-23 13:30:06.800000,-1.69987,-4.23744,-0.03443619999999999,6.804037625418005,381.207,8.4368
2017-09-23 13:30:06.900000,-2.00189,-4.52416,-0.134174,6.804037625418005,381.095,8.43562
2017-09-23 13:30:07,-1.8570099999999998,-4.668019999999999,-0.218096,6.829077901039113,381.249,8.43672
2017-09-23 13:30:07.100000,-2.13046,-4.84556,-0.33007800000000004,6.750622113393888,381.292,8.4376
2017-09-23 13:30:07.200000,-1.85905,-4.78026,-0.317834,6.563707955088432,381.31199999999995,8.43653
2017-09-23 13:30:07.300000,-1.85905,-4.55783,-0.541287,6.697211697722594,381.48,8.431239999999999
2017-09-23 13:30:07.400000,-1.7162,-4.55783,-0.724692,6.562039359870255,381.51599999999996,8.4217
2017-09-23 13:30:07.500000,-2.02026,-4.2241800000000005,-1.00809,6.722247195512921,381.35400000000004,8.41339
2017-09-23 13:30:07.600000,-1.57233,-4.55783,-0.573427,6.850780379041225,381.301,8.406460000000001
2017-09-23 13:30:07.700000,-1.97026,-2.86612,-0.633117,6.80069900660942,381.282,8.397969999999999
2017-09-23 13:30:07.800000,-2.75388,-3.8854300000000004,-0.06657669999999999,6.90921430811045,381.214,8.39335
2017-09-23 13:30:07.900000,-2.25902,-3.99767,-0.00637708,6.727254429447385,381.221,8.38914
2017-09-23 13:30:08,-2.27636,-4.33335,-0.07831060000000001,6.642137544294485,381.41,8.3955
2017-09-23 13:30:08.100000,-2.00291,-4.55681,-0.134429,6.537011028826214,381.42900000000003,8.38978
2017-09-23 13:30:08.200000,-1.88966,-4.55681,-0.141826,6.777329232361808,381.45,8.389339999999999
2017-09-23 13:30:08.300000,-1.89068,-4.49253,-0.0543327,6.829077901039113,381.335,8.386619999999999
2017-09-23 13:30:08.400000,-2.30595,-4.3802900000000005,0.08596310000000001,6.852449835264338,381.34,8.38307
2017-09-23 13:30:08.500000,-2.35391,-4.26907,0.157386,6.777329232361808,381.228,8.381839999999999
2017-09-23 13:30:08.600000,-2.30697,-4.3507,0.045915,6.854119296464319,381.24,8.384830000000001
2017-09-23 13:30:08.700000,-1.9876099999999999,-4.33335,-0.182385,6.722247195512921,381.412,8.38275
2017-09-23 13:30:08.800000,-2.13046,-4.50885,-0.35737199999999997,6.642137544294485,381.423,8.38327
2017-09-23 13:30:08.900000,-1.9549599999999998,-4.74761,-0.12626600000000002,6.695542704351794,381.52,8.37753
2017-09-23 13:30:09,-1.89068,-4.71802,-0.189782,6.565376555283535,381.472,8.37
2017-09-23 13:30:09.100000,-1.7631400000000002,-4.79557,-0.26171500000000003,6.773990772814159,381.408,8.36422
2017-09-23 13:30:09.200000,-1.6672200000000001,-4.60476,-0.269623,6.590406155438757,381.459,8.35914
2017-09-23 13:30:09.300000,-1.5243799999999998,-4.85985,-0.35788200000000003,6.590406155438757,381.32099999999997,8.35392
2017-09-23 13:30:09.400000,-1.34786,-4.76394,-0.11835899999999999,6.535342513238561,381.358,8.3479
2017-09-23 13:30:09.500000,-2.03556,-4.22316,-0.110451,6.695542704351794,381.335,8.34527
2017-09-23 13:30:09.600000,-2.09781,-4.44457,0.05764880000000001,6.508646940695257,381.379,8.340910000000001
2017-09-23 13:30:09.700000,-2.01924,-4.01399,-0.00204067,6.590406155438757,381.345,8.339739999999999
2017-09-23 13:30:09.800000,-1.87435,-4.0946,0.125756,6.830747292562592,381.395,8.33894
2017-09-23 13:30:09.900000,-2.06617,-3.87216,-0.210189,6.535342513238561,381.434,8.33747
2017-09-23 13:30:10,-2.1284099999999997,-3.3915900000000003,0.0816267,6.805706942287827,381.403,8.33489
2017-09-23 13:30:10.100000,-2.16413,-3.8089,-0.0191312,6.855788762641396,381.36,8.33436
2017-09-23 13:30:10.200000,-2.14678,-3.8874699999999995,-0.202026,6.829077901039113,381.28,8.33404
2017-09-23 13:30:10.300000,-2.4641,-3.83849,0.484658,6.643806378404179,381.162,8.33435
2017-09-23 13:30:10.400000,-2.1457599999999997,-3.5344300000000004,0.11351199999999999,6.855788762641396,381.154,8.340060000000001
2017-09-23 13:30:10.500000,-1.9365900000000003,-3.90277,-0.07780039999999999,6.698880696070262,381.004,8.35235
2017-09-23 13:30:10.600000,-1.8712900000000001,-3.43954,0.017855799999999998,6.935928991977221,380.996,8.36045
2017-09-23 13:30:10.700000,-2.08148,-3.2967,0.185701,6.752291271002491,381.087,8.37588
2017-09-23 13:30:10.800000,-2.56104,-3.2967,0.189527,6.937598702022569,380.995,8.3876
2017-09-23 13:30:10.900000,-2.72021,-3.61504,0.149989,6.805706942287827,381.13300000000004,8.40235
2017-09-23 13:30:11,-2.76816,-3.39261,0.40889899999999996,6.939268417045014,381.05699999999996,8.408719999999999
2017-09-23 13:30:11.100000,-2.17943,-4.1578599999999994,0.0492311,6.723916268514188,380.955,8.41813
2017-09-23 13:30:11.200000,-2.24167,-4.20377,-0.23416599999999999,6.854119296464319,381.155,8.4225
2017-09-23 13:30:11.300000,-2.17739,-4.2843800000000005,-0.30559000000000003,6.829077901039113,381.20599999999996,8.426839999999999
2017-09-23 13:30:11.400000,-2.38554,-4.01297,0.25355300000000003,6.670508401019276,381.07199999999995,8.426910000000001
2017-09-23 13:30:11.500000,-1.9876099999999999,-3.8395099999999998,-0.254063,6.830747292562592,381.17400000000004,8.426969999999999
2017-09-23 13:30:11.600000,-1.9376099999999998,-3.8395099999999998,-0.341812,6.695542704351794,381.208,8.427489999999999
2017-09-23 13:30:11.700000,-1.7968099999999998,-3.77625,-0.621383,6.857458233795228,381.332,8.4274
2017-09-23 13:30:11.800000,-1.8427200000000001,-3.5497400000000003,-0.780555,6.587068810718279,381.295,8.426
2017-09-23 13:30:11.900000,-2.11413,-3.3783199999999995,-0.7803,6.959305385511243,381.254,8.42727
2017-09-23 13:30:12,-2.24269,-3.24772,-0.389002,6.964314739608312,381.18,8.4223
2017-09-23 13:30:12.100000,-2.1631099999999996,-3.39261,-0.608884,6.884170449116084,381.147,8.43122
2017-09-23 13:30:12.200000,-2.12944,-3.1385400000000003,-0.45736400000000005,6.854119296464319,381.194,8.43703
2017-09-23 13:30:12.300000,-2.1478,-3.22935,-0.157897,6.857458233795228,381.218,8.44235
2017-09-23 13:30:12.400000,-1.8264,-3.19976,-0.165804,6.777329232361808,381.14,8.45002
2017-09-23 13:30:12.500000,-2.11617,-3.2803699999999996,-0.305845,6.642137544294485,381.26599999999996,8.45152
2017-09-23 13:30:12.600000,-2.25902,-3.47321,-0.285948,6.884170449116084,381.23699999999997,8.45922
2017-09-23 13:30:12.700000,-2.11413,-3.43954,0.00586692,6.617105629877415,381.19300000000004,8.4617
