,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H20_ppt
2017-09-23 21:00:00,-4.155819999999999,-3.87114,-0.249982,6.775660000099492,383.92,9.5329
2017-09-23 21:00:00.100000,-3.9813400000000003,-3.85584,-0.28620300000000004,6.453591346153871,383.959,9.53477
2017-09-23 21:00:00.200000,-4.09358,-3.8548199999999997,-0.282122,6.640468715161717,383.884,9.534360000000001
2017-09-23 21:00:00.300000,-4.0446,-3.8089,-0.298192,6.560370769628889,383.974,9.53327
2017-09-23 21:00:00.400000,-4.17316,-3.64871,-0.262226,6.5069785097149975,383.85,9.53394
2017-09-23 21:00:00.500000,-3.8701199999999996,-3.7272800000000004,-0.560928,6.537011028826214,383.923,9.53351
2017-09-23 21:00:00.600000,-4.0282800000000005,-3.7925800000000005,-0.453538,6.804037625418005,383.98900000000003,9.53402
2017-09-23 21:00:00.700000,-3.88645,-3.7946199999999997,-0.5292979999999999,6.612099381370456,383.88,9.53385
2017-09-23 21:00:00.800000,-3.90175,-3.8099199999999995,-0.509656,6.585400145823428,383.897,9.53417
2017-09-23 21:00:00.900000,-3.68034,-3.7589099999999998,-0.573682,6.640468715161717,383.899,9.53612
2017-09-23 21:00:01,-3.96501,-3.76095,-0.425989,6.775660000099492,383.88300000000004,9.53277
2017-09-23 21:00:01.100000,-3.9180800000000002,-3.7456400000000003,-0.517564,6.371852128623232,383.755,9.53079
2017-09-23 21:00:01.200000,-4.01399,-3.71299,-0.425989,6.426899675505581,383.94300000000004,9.5352
2017-09-23 21:00:01.300000,-3.64667,-3.7925800000000005,-0.8167770000000001,6.587068810718279,383.894,9.53663
2017-09-23 21:00:01.400000,-3.80686,-3.84053,-0.7530060000000001,6.720578127488409,383.91900000000004,9.53402
2017-09-23 21:00:01.500000,-3.7272800000000004,-3.82421,-0.744588,6.453591346153871,383.98900000000003,9.53551
2017-09-23 21:00:01.600000,-3.79156,-3.9037900000000003,-0.6930609999999999,6.613768125895831,383.94800000000004,9.53395
2017-09-23 21:00:01.700000,-3.63035,-3.88849,-0.516799,6.562039359870255,383.94300000000004,9.5338
2017-09-23 21:00:01.800000,-3.7589099999999998,-3.7272800000000004,-0.509146,6.4018773914039,383.908,9.53519
2017-09-23 21:00:01.900000,-3.6966699999999997,-3.87216,-0.294111,6.453591346153871,383.92199999999997,9.53542
2017-09-23 21:00:02,-3.6313699999999995,-3.8078800000000004,-0.242839,6.426899675505581,383.923,9.53359
2017-09-23 21:00:02.100000,-3.9170599999999998,-3.90277,-0.154325,6.640468715161717,383.88,9.5333
2017-09-23 21:00:02.200000,-4.01195,-3.9813400000000003,-0.202536,6.400209278945738,383.926,9.53381
2017-09-23 21:00:02.300000,-3.90277,-4.09358,-0.0227024,6.535342513238561,383.92400000000004,9.535169999999999
2017-09-23 21:00:02.400000,-3.8854300000000004,-3.7272800000000004,-0.29003,6.665501674729285,383.852,9.53197
2017-09-23 21:00:02.500000,-3.77319,-3.88951,-0.282377,6.560370769628889,383.972,9.535110000000001
2017-09-23 21:00:02.600000,-3.6793199999999997,-3.9048199999999995,-0.34232199999999996,6.722247195512921,383.99800000000005,9.53678
2017-09-23 21:00:02.700000,-3.58239,-4.04664,-0.437978,6.560370769628889,383.884,9.534189999999999
2017-09-23 21:00:02.800000,-3.56504,-4.03236,-0.441804,6.643806378404179,383.98,9.536710000000001
2017-09-23 21:00:02.900000,-3.5038199999999997,-4.0946,-0.573427,6.587068810718279,383.923,9.53103
2017-09-23 21:00:03,-3.39057,-4.14051,-0.525727,6.562039359870255,383.913,9.534310000000001
2017-09-23 21:00:03.100000,-3.51811,-4.09358,-0.369616,6.587068810718279,383.969,9.5334
2017-09-23 21:00:03.200000,-3.51913,-4.18949,-0.365789,6.750622113393888,384.043,9.53916
2017-09-23 21:00:03.300000,-3.53545,-4.12725,-0.381605,6.508646940695257,384.036,9.53525
2017-09-23 21:00:03.400000,-3.47117,-4.2221400000000004,-0.401756,6.668839487279001,383.98900000000003,9.53557
2017-09-23 21:00:03.500000,-3.3722,-4.14153,-0.23824800000000002,6.535342513238561,384.042,9.53527
2017-09-23 21:00:03.600000,-3.48546,-4.1262300000000005,-0.22600399999999998,6.535342513238561,384.006,9.535260000000001
2017-09-23 21:00:03.700000,-3.4079099999999998,-3.7925800000000005,-0.198455,6.535342513238561,383.88599999999997,9.53445
2017-09-23 21:00:03.800000,-3.30894,-3.8874699999999995,-0.325996,6.562039359870255,383.98699999999997,9.53319
2017-09-23 21:00:03.900000,-3.2803699999999996,-3.93645,-0.345638,6.722247195512921,383.935,9.53406
2017-09-23 21:00:04,-3.50178,-4.03236,-0.285948,6.511983817586383,383.974,9.53316
2017-09-23 21:00:04.100000,-3.6476900000000003,-3.8078800000000004,-0.293856,6.587068810718279,383.918,9.53616
2017-09-23 21:00:04.200000,-3.42424,-3.9191,-0.00688725,6.4302360646600505,383.996,9.53533
2017-09-23 21:00:04.300000,-3.51913,-3.99664,-0.062240300000000005,6.485289359870194,383.959,9.53473
2017-09-23 21:00:04.400000,-3.37322,-3.9833800000000004,-0.133919,6.668839487279001,384.04900000000004,9.53443
2017-09-23 21:00:04.500000,-3.45485,-3.95175,-0.114277,6.4302360646600505,383.994,9.53407
2017-09-23 21:00:04.600000,-3.21711,-4.14153,-0.134174,6.481952642240003,383.973,9.53187
2017-09-23 21:00:04.700000,-3.51811,-4.34968,-0.34997399999999995,6.425231488393877,383.876,9.53357
2017-09-23 21:00:04.800000,-3.26405,-4.47824,-0.39793,6.613768125895831,384.02,9.536589999999999
2017-09-23 21:00:04.900000,-3.53545,-4.01501,-0.42981499999999995,6.5336740026278335,384.028,9.53331
2017-09-23 21:00:05,-3.9813400000000003,-3.80686,-0.12626600000000002,6.804037625418005,384.023,9.5347
2017-09-23 21:00:05.100000,-3.94971,-3.9986900000000003,-0.10687999999999999,6.4018773914039,384.06699999999995,9.53927
2017-09-23 21:00:05.200000,-4.0446,-4.0456199999999995,0.021427,6.588737480590112,384.08,9.53457
2017-09-23 21:00:05.300000,-3.72626,-4.68537,0.0216821,6.510315376652329,384.01300000000003,9.5344
