,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H20_ppt
2017-09-23 12:30:00,-2.0825,-3.39261,-0.389002,6.215079732541085,381.56800000000004,8.0493
2017-09-23 12:30:00.100000,-1.8917,-3.47117,-0.493331,6.056684225195113,381.60900000000004,8.05343
2017-09-23 12:30:00.200000,-2.0172,-3.20181,-0.636943,6.028344504001325,381.411,8.04928
2017-09-23 12:30:00.300000,-2.0345400000000002,-3.18548,-0.473179,6.163387840420512,381.616,8.046710000000001
2017-09-23 12:30:00.400000,-2.17943,-3.2977199999999995,-0.35788200000000003,6.190066929447482,381.469,8.04991
2017-09-23 12:30:00.500000,-2.13046,-3.31302,-0.381605,6.268444121775019,381.585,8.0495
2017-09-23 12:30:00.600000,-2.01822,-3.24874,-0.29003,6.32681725792321,381.461,8.051
2017-09-23 12:30:00.700000,-2.13046,-3.2324200000000003,-0.249471,6.1917344148153575,381.44800000000004,8.05157
2017-09-23 12:30:00.800000,-2.19372,-3.19976,-0.249982,6.0850253847149816,381.466,8.05557
2017-09-23 12:30:00.900000,-2.2733,-3.1365,-0.269878,6.163387840420512,381.583,8.05889
2017-09-23 12:30:01,-2.1120900000000002,-3.2967,-0.142336,6.1383773515887015,381.559,8.056560000000001
2017-09-23 12:30:01.100000,-2.16209,-3.26405,-0.12218499999999999,6.1383773515887015,381.476,8.05617
2017-09-23 12:30:01.200000,-2.2100400000000002,-3.21507,-0.15407,6.083358217869147,381.524,8.05717
2017-09-23 12:30:01.300000,-2.22535,-3.18446,-0.20559699999999997,6.113367982561044,381.476,8.05591
2017-09-23 12:30:01.400000,-2.22637,-3.18344,-0.22192199999999998,6.005006990066192,381.56300000000005,8.05937
2017-09-23 12:30:01.500000,-2.2926900000000003,-3.20283,-0.218606,6.293460433588166,381.565,8.0573
2017-09-23 12:30:01.600000,-1.87333,-3.4895400000000003,-0.246155,6.298463830327364,381.60699999999997,8.05749
2017-09-23 12:30:01.700000,-1.98659,-3.39261,-0.15407,6.455259617873139,381.551,8.05795
2017-09-23 12:30:01.800000,-2.08148,-3.5038199999999997,-0.14208099999999999,6.0850253847149816,381.526,8.05874
2017-09-23 12:30:01.900000,-2.1927,-3.5364699999999996,-0.19029200000000002,6.215079732541085,381.51,8.056510000000001
2017-09-23 12:30:02,-2.29065,-3.4089300000000002,-0.174477,6.270111841057428,381.51,8.06259
2017-09-23 12:30:02.100000,-2.2753400000000004,-3.4089300000000002,-0.241819,6.3017994530379156,381.659,8.059989999999999
2017-09-23 12:30:02.200000,-2.33656,-3.3283300000000002,-0.249471,6.216747292562559,381.51599999999996,8.058819999999999
2017-09-23 12:30:02.300000,-2.32024,-3.40995,-0.23416599999999999,6.056684225195113,381.597,8.058710000000001
2017-09-23 12:30:02.400000,-2.36921,-3.40995,-0.154325,6.221750002488591,381.517,8.06068
2017-09-23 12:30:02.500000,-2.33554,-3.4222,-0.14616300000000002,6.140044682672453,381.56199999999995,8.05735
2017-09-23 12:30:02.600000,-2.33656,-3.47015,-0.186211,6.350168219461693,381.56800000000004,8.05591
2017-09-23 12:30:02.700000,-2.35391,-3.4079099999999998,-0.22217800000000001,6.27177956531699,381.51099999999997,8.058810000000001
2017-09-23 12:30:02.800000,-2.3386,-3.64871,-0.322425,6.135042704351747,381.565,8.054730000000001
2017-09-23 12:30:02.900000,-2.27432,-3.44056,-0.266052,6.375188189301639,381.469,8.05342
2017-09-23 12:30:03,-2.17841,-3.44056,-0.23824800000000002,6.163387840420512,381.473,8.057089999999999
2017-09-23 12:30:03.100000,-2.38758,-3.7925800000000005,-0.133919,6.351836182612658,381.538,8.05607
2017-09-23 12:30:03.200000,-2.16209,-3.6630000000000003,-0.31349699999999997,6.27177956531699,381.463,8.05511
2017-09-23 12:30:03.300000,-2.40288,-3.5987199999999997,-0.23034000000000002,6.0550171429567285,381.466,8.05552
2017-09-23 12:30:03.400000,-2.4018599999999997,-3.5670800000000003,-0.273704,6.163387840420512,381.51199999999994,8.063239999999999
2017-09-23 12:30:03.500000,-2.48043,-3.5517800000000004,-0.27753099999999997,6.030011506609412,381.57199999999995,8.05665
2017-09-23 12:30:03.600000,-2.30595,-3.40995,-0.477516,6.1383773515887015,381.506,8.057839999999999
2017-09-23 12:30:03.700000,-2.33656,-3.3426099999999996,-0.397165,6.190066929447482,381.51099999999997,8.05843
2017-09-23 12:30:03.800000,-2.38656,-3.2967,-0.378033,6.106699006609404,381.48,8.05531
2017-09-23 12:30:03.900000,-2.43349,-3.2803699999999996,-0.32956799999999997,6.22008242753617,381.591,8.05584
2017-09-23 12:30:04,-2.17943,-3.2977199999999995,-0.397675,5.926666756250938,381.57099999999997,8.05626
2017-09-23 12:30:04.100000,-2.19372,-3.2497599999999998,-0.477516,6.22008242753617,381.465,8.05344
2017-09-23 12:30:04.200000,-2.11413,-3.34363,-0.23799299999999998,6.1117007311075895,381.536,8.05697
2017-09-23 12:30:04.300000,-2.17739,-3.42424,-0.0823919,6.163387840420512,381.495,8.05711
2017-09-23 12:30:04.400000,-2.1631099999999996,-3.58239,-0.09412569999999999,6.110033484631288,381.44599999999997,8.05616
