,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H20_ppt
2017-09-23 08:30:00,-2.8049,-0.768311,-0.26171500000000003,4.734587762780734,381.856,7.92789
2017-09-23 08:30:00.100000,-2.92836,-0.76423,-0.132898,4.857673236184155,381.825,7.93231
2017-09-23 08:30:00.200000,-2.70796,-0.839734,-0.101778,4.922553573917071,381.836,7.93001
2017-09-23 08:30:00.300000,-3.00386,-0.38976700000000003,0.055353099999999995,5.012400384714908,381.79699999999997,7.9318800000000005
2017-09-23 08:30:00.400000,-2.8732599999999997,-1.08972,0.4441,4.977458233795176,381.796,7.932060000000001
2017-09-23 08:30:00.500000,-2.45288,-0.9264620000000001,0.0538226,4.96913899755134,381.861,7.938269999999999
2017-09-23 08:30:00.600000,-2.50696,-1.0489,-0.08825880000000001,5.11058293518073,381.91,7.93589
2017-09-23 08:30:00.700000,-2.46615,-1.21318,-0.137745,4.852682754519037,381.84,7.93602
2017-09-23 08:30:00.800000,-2.6845,-1.22848,-0.278041,4.841038471492368,381.85400000000004,7.935569999999999
2017-09-23 08:30:00.900000,-2.5243,-1.22032,-0.509401,4.8194140214405365,381.88699999999994,7.93918
2017-09-23 08:30:01,-2.55491,-1.25195,-0.597915,5.02404825609176,381.936,7.94203
2017-09-23 08:30:01.100000,-2.8151,-1.43459,-0.599701,4.895935083711606,381.94800000000004,7.945060000000001
2017-09-23 08:30:01.200000,-2.7763299999999997,-1.28766,-0.511442,4.952500898331721,381.889,7.945130000000001
2017-09-23 08:30:01.300000,-2.72021,-1.38255,-0.343087,4.847692317646249,381.829,7.943639999999999
2017-09-23 08:30:01.400000,-2.88142,-1.32235,-0.222688,4.922553573917071,381.895,7.9474
2017-09-23 08:30:01.500000,-2.96611,-1.29684,-0.193608,4.827731018076179,381.93699999999995,7.94618
2017-09-23 08:30:01.600000,-3.27221,-1.16828,-0.402777,4.857673236184155,381.94599999999997,7.9450199999999995
2017-09-23 08:30:01.700000,-3.06406,-1.35296,-0.406093,4.81442388318203,381.97900000000004,7.94685
